moisture,d50,system_p,X_std_avg,X_tot_avg,X_good_avg,tar_loading_avg,tar_loading_incl_avg,space_time_avg,optical_thickness_d90_avg,optical_thickness_d50_avg,optical_thickness_d10_avg,T_cupmix_gas_only_avg,dH_max/A,tau_min,CH4_yield_corr,dH_max/A/T^4,Re_in,Re_out,e^-Ea/R1T,tau_min/e^-Ea/RT,pp_H2O_corr,pp_CO2_corr,c_H2O,dP_lance,c_CO2,c_CO2+c_H2O,c_H2O/c_CO2
8.3,51.4,50,0.725069,0.750554,0.652721,706.18,5039.15,3.48113,0.1887354337,0.4600885184,1.0948402706,456.37267159,27.119481147,0.7850800917,0.0718214816,0.000104297,1133.9589619,1234.485959,0.0724553651,10.835361752,38.808677434,22.28003751,70.501518297,0.1511,40.474877683,110.97639598,1.7418587117
8.3,51.4,50,0.726339,0.751016,0.65516,604.887,4874.84,3.4823,0.187660036,0.4574669748,1.0886019678,456.38948897,27.032145869,0.7871312647,0.0705719448,0.0001041796,1133.8324735,1233.1939154,0.072355623,10.87864677,38.805038268,22.282804292,70.492309583,0.1752,40.478412306,110.97072189,1.7414791136
10.53,65.3,50,0.640747,0.685702,0.545629,7632.4,15233.8,3.63132,0.5685525834,1.4348769639,3.012780249,440.09214608,58.740794339,0.4965810748,0.0949948389,0.0002324244,1082.4433651,1707.7371102,0.071110993,6.9831829637,34.636169947,5.5967064511,65.249246564,0.1549,10.543338935,75.792585499,6.1886701133
11.98,75.7,50,0.617134,0.668079,0.517307,9110.75,18029.2,3.63322,0.5424261227,1.2338940333,2.7634845658,440.09177807,59.08206849,0.5100227564,0.0999800867,0.0002354374,1096.0003262,1701.2837904,0.0707784312,7.2059064875,35.153826146,5.5197168422,66.224487045,0.1502,10.398310983,76.622798028,6.3687734627
11.53,75.1,50,0.777132,0.865666,0.650534,10400.5,20167.8,1.88349,0.2785225183,0.6453118266,1.4911667132,443.37708792,71.613433647,0.3184975537,0.1266673517,0.0002810223,1986.5235037,2494.7067199,0.0715007521,4.4544643871,34.495484,6.1557685017,64.50275342,0.1453,11.510608686,76.013362106,5.6037656371
10.53,65.3,50,0.633007,0.683147,0.529643,9624.97,17044.3,3.65979,0.5802838987,1.4644837136,3.0749449035,440.06378638,59.375245142,0.4947232967,0.1036684324,0.0002337394,1083.5553765,1718.1189165,0.0713509822,6.9336578388,34.856963001,5.6166130355,65.669418668,0.3259,10.581521773,76.250940441,6.2060467368
10.53,65.3,50,0.627747,0.67608,0.528787,8994.27,16713.2,3.66492,0.583795942,1.473347186,3.0935553456,440.05297864,59.568396662,0.5014804583,0.0988271457,0.0002349953,1084.0177691,1722.0107802,0.071251608,7.0381633844,34.966482047,5.6281876696,65.87736701,0.241,10.603588437,76.480955447,6.2127427334
11.98,75.7,50,0.635329,0.694679,0.525169,11503.1,20321.1,3.66108,0.5615543573,1.2774063451,2.860936696,439.96368121,60.388816827,0.4907658712,0.1099394901,0.0002397536,1098.9825606,1724.1151211,0.0709523986,6.9168327037,35.339109874,5.5151430487,66.592916642,0.4763,10.392719642,76.985636283,6.4076506378
11.98,75.7,50,0.639031,0.694972,0.530614,10696.1,18901.8,3.67048,0.5529255683,1.257777845,2.8169758244,440.02810604,59.552799632,0.4927405066,0.1083859641,0.0002361684,1097.140008,1708.9451599,0.0710052538,6.9394936314,35.302586621,5.5326159932,66.51435249,0.5964,10.424119182,76.938471672,6.3808127412
11.53,75.1,50,0.741938,0.84793,0.612803,11618.3,25009.7,1.89547,0.2801937413,0.6491839014,1.5001141844,443.37449568,71.635922231,0.3275681181,0.1287927313,0.000280319,1986.7957293,2494.5600328,0.0716338011,4.5728149737,34.631636372,6.175774248,64.757721962,0.3026,11.548084744,76.305806706,5.6076590531
11.53,75.1,50,0.761287,0.863078,0.631387,11598.3,23420.1,1.88982,0.2820982411,0.6535964573,1.5103105829,443.36955322,72.10430915,0.3187628046,0.1300114219,0.0002819588,1987.7519445,2502.7410281,0.0716661035,4.4478880396,34.606080118,6.1621053948,64.710655656,0.1922,11.522653793,76.233309449,5.615950702
11.53,75.1,50,0.767573,0.853079,0.644511,9876.61,19448.4,1.87191,0.2744616554,0.6359031697,1.4694254782,443.38043711,71.301899621,0.3179790391,0.1231453267,0.0002784019,1986.076283,2488.0268215,0.0717371813,4.432555525,34.245837705,6.1186462204,64.035458647,0.1843,11.441107687,75.476566335,5.596963196
