moisture,d50,system_p,X_std_avg,X_tot_avg,X_good_avg,tar_loading_avg,tar_loading_incl_avg,space_time_avg,optical_thickness_d90_avg,optical_thickness_d50_avg,optical_thickness_d10_avg,T_cupmix_gas_only_avg,dH_max/A,tau_min,CH4_yield_corr,dH_max/A/T^4,Re_in,Re_out,e^-Ea/R1T,tau_min/e^-Ea/RT,pp_H2O_corr,pp_CO2_corr,c_H2O,dP_lance,c_CO2,c_CO2+c_H2O,c_H2O/c_CO2
8.2,61.9,10,0.727775,0.789321,0.660051,2344.36,10549.6,0.631519,0.03480288,0.10322791,0.28525928,449.26845,41.9532697,0.11432095,0.06746464,9.83478e-5,1368.50077,1546.18537,0.09834829,1.16240909,14.7941093,0,27.300598,1.3909,0,27.300598,
7.59,57.7,10,0.63843,0.705124,0.585698,2010.31,11261.9,0.596405,0.04341444,0.10789654,0.23316969,418.238204,52.0768509,0.1098867,0.05261651,0.00011738,2001.69106,2148.8491,0.10060065,1.09230599,13.2799608,10.1720945,26.3246344,0.8929,20.1639653,46.4885997,1.30552865
9.54,65.5,10,0.669976,0.73647,0.611487,2358.01,12730.4,0.637359,0.04212769,0.101621,0.23687457,433.451405,47.7778579,0.11824214,0.05831853,0.0001108,1705.92397,1842.412,0.09896364,1.19480391,14.8862126,8.47766937,28.4729889,0.6364,16.2153123,44.6883012,1.7559322
9.54,65.5,10,0.614006,0.703309,0.553541,3042.7,13076,0.561078,0.03620468,0.08733342,0.20357078,406.132036,55.7899634,0.10369197,0.06015735,0.00012941,2312.06966,2383.60189,0.09895265,1.04789488,12.1295318,11.5004444,24.7608783,1.0749,23.4766773,48.2375555,1.05470114
9.54,65.5,10,0.606307,0.692462,0.543754,2985.13,11053.6,0.532197,0.03377391,0.08146989,0.18990312,396.245858,59.7247265,0.09630241,0.06240734,0.00013858,2616.08861,2653.79109,0.09893478,0.97339285,11.0946725,12.6334321,23.2134137,1.4197,26.4329646,49.6463783,0.8781994
9.54,65.5,10,0.677821,0.745168,0.615846,2648.94,10618.8,0.59607,0.0376495,0.09081863,0.21169467,418.259687,51.1369312,0.10938338,0.06159507,0.00011861,2007.19701,2101.68758,0.09895402,1.10539597,13.352998,10.1403612,26.4680553,0.8419,20.1000285,46.5680839,1.3168168
10.23,61.9,10,0.644387,0.711976,0.585334,2650.96,13419.6,0.614713,0.04715747,0.11038961,0.24491459,456.38473,48.790677,0.11683997,0.05828942,0.00011288,1710.64094,1854.13037,0.09910244,1.1789817,14.9380458,8.44624808,27.1363817,1.0143,15.3434134,42.479795,1.76860135
10.23,61.9,10,0.678065,0.732725,0.61789,2001.45,9904.76,0.61466,0.04164939,0.0974959,0.21630811,456.356692,46.2902736,0.11841564,0.0600033,0.00010752,1706.51019,1813.25784,0.0988757,1.19762121,14.8893,8.47388361,27.049492,1.0284,15.3945617,42.4440537,1.75708101
10.23,61.9,10,0.668834,0.724108,0.609728,2418.43,10025,0.615235,0.04216314,0.09869852,0.21897629,456.353675,46.5233271,0.11824686,0.05876433,0.0001079,1707.1939,1817.06689,0.09895814,1.19491794,14.8924913,8.473751,27.0554685,1.0527,15.3944226,42.4498911,1.75748512
10.23,61.9,10,0.695761,0.742783,0.638144,2106.94,8518.73,0.596913,0.04100649,0.09599096,0.2129692,456.341319,46.5164238,0.1168308,0.05748895,0.00010837,1707.58144,1818.1067,0.09870398,1.1836484,14.8775191,8.46742607,27.0290002,0.3098,15.3833484,42.4123486,1.75702971
