Source Table,description,zone2temp,X_good_C,dH_max/A,dH_max/A/T^4,tau_min,CH4_yield,tic520_sp,X_good_avg,CH4_yield_corr,temp,source,pp_H2O,Column 16
RDF_for_lab_reconciliation,,1400,0.7762395604,56.256745365,0.1295390302,0.4263253076,0.1055140673,,0.7762395604,,1400,RDF,9.56197,
RDF_for_lab_reconciliation,,1400,0.6899813187,70.229377457,0.1665698874,0.2789258485,0.1120345542,,0.6899813187,,1400,RDF,5.34223,
RDF_for_lab_reconciliation,,1400,0.6980857143,59.740358839,0.1404398901,0.3106264469,0.1072690567,,0.6980857143,,1400,RDF,4.48707,
RDF_for_lab_reconciliation,,1400,0.5708659341,89.623900627,0.2123543233,0.2486693117,0.1042853847,,0.5708659341,,1400,RDF,5.61817,
RDF_for_lab_reconciliation,,1400,0.6149912088,71.686169283,0.1689943845,0.2855132712,0.1031242336,,0.6149912088,,1400,RDF,4.9121,
RDF_for_lab_reconciliation,Running 508 micron sieved material,1400,0.8275967033,49.672328243,0.1158727931,0.3274220496,0.1230999791,,0.8275967033,,1400,RDF,4.41851,
RDF_for_lab_reconciliation,,1450,0.8394802198,55.731795181,0.1161139792,0.4161449868,0.1065895394,,0.8394802198,,1450,RDF,9.0723,
RDF_for_lab_reconciliation,50 lb/hr run S:B 0.5 at 25 psig,1450,0.7243076923,79.998443417,0.1681295201,0.3458550748,0.1090458683,,0.7243076923,,1450,RDF,10.3457,
RDF_for_lab_reconciliation,65 lb/hr run S:B 0.5 at 25 psig,1450,0.646278022,97.483028952,0.2053953906,0.31678989,0.1042267841,,0.646278022,,1450,RDF,12.0157,
RDF_for_lab_reconciliation,40 lb/hr - 0.667 S:B ratio,1400,0.8572307692,62.205201858,0.1457350813,0.2735066866,0.1515389443,,0.8572307692,,1400,RDF,5.17722,
RDF_for_lab_reconciliation,40 lb/hr - 0.5 S:B ratio at 0 psig,1400,0.6640461538,57.341006109,0.1338551744,0.2659413646,0.1166567053,,0.6640461538,,1400,RDF,2.3434,
RDF_for_lab_reconciliation,80 lb/hr - 0.5 S:B ratio at 0 psig,1400,0.616278022,105.68429264,0.2502204031,0.2139801634,0.133023929,,0.616278022,,1400,RDF,6.55171,
RDF_for_lab_reconciliation,80 lb/hr run at 1450 C,1450,0.6698351648,109.62868756,0.232372156,0.2238713406,0.1382187796,,0.6698351648,,1450,RDF,8.13236,
RDF_for_lab_reconciliation,60 lb/hr high temp run,1450,0.7357010989,85.936768004,0.1831367428,0.2576606299,0.1399371305,,0.7357010989,,1450,RDF,7.45683,
RDF_for_lab_reconciliation,Phase I high temperature run,1450,0.8092604396,62.021212325,0.1308127175,0.3182773753,0.1336922995,,0.8092604396,,1450,RDF,5.98735,
RDF_for_lab_reconciliation,80 lb/hr run at 1450 C - Actual Feed rate 91-93 lbs/hr,1450,0.5699516484,106.59601731,0.2250813942,0.3216193154,0.0977394125,,0.5699516484,,1450,RDF,16.5276,
RDF_for_lab_reconciliation,80 lb/hr run at 1450 C - Actual Feed rate 91-93 lbs/hr,1450,0.5333230769,108.0077295,0.2291622196,0.5726464545,0.0978836433,,0.5333230769,,1450,RDF,41.5403,
RDF_for_lab_reconciliation,80 lb/hr run at 1450 C - Actual Feed rate 91-93 lbs/hr,1450,0.6054340659,108.57320731,0.2318939351,0.4927885001,0.1207235367,,0.6054340659,,1450,RDF,40.2831,
RDF_for_lab_reconciliation,50 lb/hr run at 1450 C,1450,0.6740274725,72.02037533,0.1505846733,0.4834865491,0.1224952355,,0.6740274725,,1450,RDF,40.0976,
RDF_for_lab_reconciliation,80 lb/hr run at 1450 C,1450,0.5856901099,101.83622424,0.2168614046,0.3195087152,0.1173599724,,0.5856901099,,1450,RDF,19.0737,
RDF_for_lab_reconciliation,50 lb/hr run at 1450 C,1450,0.6021285714,66.811841628,0.1411849031,0.4214469701,0.1324028491,,0.6021285714,,1450,RDF,16.6279,
RDF_for_lab_reconciliation,100 lb/hr run at 1450 C,1450,0.5450076923,126.60109793,0.2711886115,0.2782427581,0.1332665491,,0.5450076923,,1450,RDF,19.5546,
RDF_for_lab_reconciliation,50 lb/hr run at 1450 C,1450,0.5859065934,66.627852095,0.1408324424,0.4289892875,0.1196266938,,0.5859065934,,1450,RDF,16.5302,
RDF_for_lab_reconciliation,100 lb/hr run at 1450 C,1450,0.5357010989,124.93182976,0.2696892443,0.292747018,0.1325098969,,0.5357010989,,1450,RDF,20.2047,
RDF_for_lab_reconciliation,100 lb/hr run at 1450 C,1450,0.5794252747,123.68017231,0.2663082896,0.5129114015,0.1783376494,,0.5794252747,,1450,RDF,50.5064,
RDF_for_lab_reconciliation,107 lb/hr run at 1450 C,1450,0.6340857143,105.60191584,0.2268149326,0.2294232069,0.1301911711,,0.6340857143,,1450,RDF,7.65361,
RDF_for_lab_reconciliation,107 lb/hr run at 1450 C,1450,0.6810186813,105.8590313,0.2520303628,0.1789888698,0.1329883003,,0.6810186813,,1450,RDF,3.3355,
RDF_for_lab_reconciliation,50 lb/hr run at 1450 C,1450,0.5090582418,55.135774818,0.1136186631,0.0001618084,0.0776437123,,0.5090582418,,1450,RDF,0.783451,
RDF_for_lab_reconciliation,30 lb/hr run at 1200 C,1200,0.6467846154,33.121346421,0.1276155167,0.3766956379,0.1507628727,,0.6467846154,,1200,RDF,4.19108,
RDF_for_lab_reconciliation,50 lb/hr run at 1200 C,1200,0.5025758242,49.049289465,0.1851852588,0.3329408359,0.1158072279,,0.5025758242,,1200,RDF,3.0161,
RDF_for_lab_reconciliation,50 lb/hr run at 1200 C,1200,0.4542472527,48.182057077,0.1837381683,0.3902209022,0.0962299993,,0.4542472527,,1200,RDF,2.4084,
RDF_for_lab_reconciliation,30 lb/hr run at 1200 C,1200,0.5371549451,35.97193605,0.1308449871,0.4248717857,0.1179139901,,0.5371549451,,1200,RDF,2.4105,
