Source Table,dH_max/A,tau_min,tic520_sp,X_good_avg,CH4_yield_corr,source,pp_H2O
Lab_for_RDF_reconciliation,90.68830858,0.2342245978,1450,0.639453,0.0288713054,Lab,5.39525
Lab_for_RDF_reconciliation,101.00228047,0.0710375324,1450,0.534982,0.0693436455,Lab,8.88696
Lab_for_RDF_reconciliation,44.080325389,0.2745722906,1450,0.771806,0.0219239488,Lab,37.3791
Lab_for_RDF_reconciliation,42.217956611,0.2835912202,1450,0.774627,0.0257616539,Lab,42.5793
Lab_for_RDF_reconciliation,41.953269683,0.1143209464,1450,0.660051,0.0674646361,Lab,9.58733
Lab_for_RDF_reconciliation,45.642684374,0.418058854,1450,0.653851,0.0007340564,Lab,1.36895
Lab_for_RDF_reconciliation,45.482746975,0.4219205067,1450,0.626611,5.107089E-006,Lab,1.35738
Lab_for_RDF_reconciliation,59.896871292,0.2474741534,1450,0.704833,0.0283621126,Lab,21.6312
Lab_for_RDF_reconciliation,46.987685181,0.2975164636,1450,0.800229,0.01307897,Lab,28.515
Lab_for_RDF_reconciliation,46.963438636,0.2941254809,1450,0.80758,0.0111246023,Lab,28.5133
Lab_for_RDF_reconciliation,46.457155469,0.294485439,1450,0.802799,0.0104895439,Lab,28.5072
Lab_for_RDF_reconciliation,46.312524327,0.291945914,1450,0.812589,0.0118414815,Lab,28.522
Lab_for_RDF_reconciliation,52.076850891,0.1098866958,1450,0.585698,0.0526165113,Lab,5.57529
Lab_for_RDF_reconciliation,50.799775751,0.2815100506,1450,0.775014,0.0192071747,Lab,25.8697
Lab_for_RDF_reconciliation,47.777857924,0.1182421449,1450,0.611487,0.0583185303,Lab,6.08682
Lab_for_RDF_reconciliation,55.789963387,0.1036919734,1450,0.553541,0.0601573536,Lab,5.21692
Lab_for_RDF_reconciliation,59.724726483,0.0963024116,1450,0.543754,0.0624073397,Lab,4.93837
Lab_for_RDF_reconciliation,55.322027441,0.2617804028,1450,0.762812,0.0262804239,Lab,23.7673
Lab_for_RDF_reconciliation,51.13693116,0.1093833769,1450,0.615846,0.0615950719,Lab,5.59164
Lab_for_RDF_reconciliation,44.298435904,0.2983623142,1450,0.786272,0.0151664473,Lab,28.6621
Lab_for_RDF_reconciliation,42.551887341,0.2979357457,1450,0.861892,0.0159412629,Lab,28.6849
Lab_for_RDF_reconciliation,47.303936416,0.2934077928,1450,0.820201,0.018208667,Lab,28.6799
Lab_for_RDF_reconciliation,43.249147332,0.2965558449,1450,0.800526,0.0182019132,Lab,28.6912
Lab_for_RDF_reconciliation,43.896011024,0.2947775563,1450,0.81052,0.0174401729,Lab,28.6778
Lab_for_RDF_reconciliation,46.674325543,0.2990718968,1450,0.762859,0.0151619229,Lab,28.7301
Lab_for_RDF_reconciliation,48.790676968,0.1168399651,1450,0.585334,0.0582894239,Lab,6.33022
Lab_for_RDF_reconciliation,46.30556977,0.2950791398,1450,0.810653,0.0171956819,Lab,28.7762
Lab_for_RDF_reconciliation,46.290273594,0.118415637,1450,0.61789,0.0600033031,Lab,6.31106
Lab_for_RDF_reconciliation,46.394458358,0.3004720812,1450,0.753461,0.0156078469,Lab,28.7724
Lab_for_RDF_reconciliation,46.523327098,0.118246862,1450,0.609728,0.0587643276,Lab,6.32726
