Source Table	description	zone2temp	X_good_C	dH_max/A	dH_max/A/T^4	tau_min	CH4_yield	X_good_avg	source	pp_H2O	Column 16
RDF_for_lab_reconciliation		1450	0.8394802198	55.731795181	0.1161139792	0.4161449868	0.1065895394	0.8394802198	RDF	9.0723	
RDF_for_lab_reconciliation	50 lb/hr run S:B 0.5 at 25 psig	1450	0.7243076923	79.998443417	0.1681295201	0.3458550748	0.1090458683	0.7243076923	RDF	10.3457	
RDF_for_lab_reconciliation	65 lb/hr run S:B 0.5 at 25 psig	1450	0.646278022	97.483028952	0.2053953906	0.31678989	0.1042267841	0.646278022	RDF	12.0157	
RDF_for_lab_reconciliation	80 lb/hr run at 1450 C	1450	0.6698351648	109.62868756	0.232372156	0.2238713406	0.1382187796	0.6698351648	RDF	8.13236	
RDF_for_lab_reconciliation	60 lb/hr high temp run	1450	0.7357010989	85.936768004	0.1831367428	0.2576606299	0.1399371305	0.7357010989	RDF	7.45683	
RDF_for_lab_reconciliation	Phase I high temperature run	1450	0.8092604396	62.021212325	0.1308127175	0.3182773753	0.1336922995	0.8092604396	RDF	5.98735	
RDF_for_lab_reconciliation	80 lb/hr run at 1450 C - Actual Feed rate 91-93 lbs/hr	1450	0.5699516484	106.59601731	0.2250813942	0.3216193154	0.0977394125	0.5699516484	RDF	16.5276	
RDF_for_lab_reconciliation	80 lb/hr run at 1450 C - Actual Feed rate 91-93 lbs/hr	1450	0.5333230769	108.0077295	0.2291622196	0.5726464545	0.0978836433	0.5333230769	RDF	41.5403	
RDF_for_lab_reconciliation	80 lb/hr run at 1450 C - Actual Feed rate 91-93 lbs/hr	1450	0.6054340659	108.57320731	0.2318939351	0.4927885001	0.1207235367	0.6054340659	RDF	40.2831	
RDF_for_lab_reconciliation	50 lb/hr run at 1450 C	1450	0.6740274725	72.02037533	0.1505846733	0.4834865491	0.1224952355	0.6740274725	RDF	40.0976	
RDF_for_lab_reconciliation	80 lb/hr run at 1450 C	1450	0.5856901099	101.83622424	0.2168614046	0.3195087152	0.1173599724	0.5856901099	RDF	19.0737	
RDF_for_lab_reconciliation	50 lb/hr run at 1450 C	1450	0.6021285714	66.811841628	0.1411849031	0.4214469701	0.1324028491	0.6021285714	RDF	16.6279	
RDF_for_lab_reconciliation	100 lb/hr run at 1450 C	1450	0.5450076923	126.60109793	0.2711886115	0.2782427581	0.1332665491	0.5450076923	RDF	19.5546	
RDF_for_lab_reconciliation	50 lb/hr run at 1450 C	1450	0.5859065934	66.627852095	0.1408324424	0.4289892875	0.1196266938	0.5859065934	RDF	16.5302	
RDF_for_lab_reconciliation	100 lb/hr run at 1450 C	1450	0.5357010989	124.93182976	0.2696892443	0.292747018	0.1325098969	0.5357010989	RDF	20.2047	
RDF_for_lab_reconciliation	100 lb/hr run at 1450 C	1450	0.5794252747	123.68017231	0.2663082896	0.5129114015	0.1783376494	0.5794252747	RDF	50.5064	
RDF_for_lab_reconciliation	107 lb/hr run at 1450 C	1450	0.6340857143	105.60191584	0.2268149326	0.2294232069	0.1301911711	0.6340857143	RDF	7.65361	
RDF_for_lab_reconciliation	107 lb/hr run at 1450 C	1450	0.6810186813	105.8590313	0.2520303628	0.1789888698	0.1329883003	0.6810186813	RDF	3.3355	
RDF_for_lab_reconciliation	50 lb/hr run at 1450 C	1450	0.5090582418	55.135774818	0.1136186631	0.0001618084	0.0776437123	0.5090582418	RDF	0.783451	
