ss_start,particle_size,pressure,space_time_avg,actual_MFR,X_good_C,dH_max/A,dH_max/A/T^4,tau_min,Re_in,Re_out,CH4_yield,optical_thickness,C_H2O,pp_H2O_corr
01/15/2011 12:30:00 AM,Sieved 30mesh/80mesh,25,1.91975,29.5588,0.8394802198,55.731795181,0.1161139792,0.4161449868,7258.2639294,11533.027351,0.1065895394,0.481376193,20.995141162,14.937299941
01/15/2011 10:00:00 AM,Sieved 30mesh/80mesh,25,1.69478,49.6537,0.7243076923,79.998443417,0.1681295201,0.3458550748,8110.2514013,13609.09001,0.1090458683,0.6639144497,22.258480344,16.928974455
01/15/2011 7:00:00 PM,Sieved 30mesh/80mesh,25,1.4245,64.2011,0.646278022,97.483028952,0.2053953906,0.31678989,8813.8739831,14487.459003,0.1042267841,0.6876422076,23.164155786,19.607620664
01/21/2011 4:45:00 PM,Rice hulls minus 80,13.5,0.954764,79.1459,0.6698351648,109.62868756,0.232372156,0.2238713406,8044.2395928,13880.93665,0.1382187796,0.5177496505,17.741895506,17.726360732
01/21/2011 7:30:00 PM,Rice hulls minus 80,13.5,1.20615,59.5956,0.7357010989,85.936768004,0.1831367428,0.2576606299,7042.3741686,12163.430222,0.1399371305,0.5176339678,17.677440489,16.017762841
01/21/2011 10:20:00 PM,Rice hulls minus 80,13.5,1.58757,39.7518,0.8092604396,62.021212325,0.1308127175,0.3182773753,6021.7818328,10137.836773,0.1336922995,0.4888793353,16.686331996,13.034966103
02/08/2011 10:15:00 AM,30mesh/80mesh,25,1.36626,79.3572,0.5699516484,106.59601731,0.2250813942,0.3216193154,7492.3594909,13972.319339,0.0977394125,0.7163118477,24.894282088,26.939019253
02/08/2011 11:30:00 PM,30mesh/80mesh,50,2.68494,86.65,0.5333230769,108.0077295,0.2291622196,0.5726464545,5555.7171822,12084.868805,0.0978836433,1.3490849131,43.552319346,55.116262463
02/09/2011 7:45:00 PM,30mesh/80mesh,50,2.64546,86.6063,0.6054340659,108.57320731,0.2318939351,0.4927885001,5817.3603092,14599.054382,0.1207235367,1.3543391394,43.742569203,53.839043487
02/11/2011 6:50:00 AM,30mesh/80mesh,50,1.86253,49.7026,0.6740274725,72.02037533,0.1505846733,0.4834865491,6508.552779,15112.858721,0.1224952355,0.67303565,42.298010107,53.467015029
02/11/2011 4:30:00 PM,Rice hulls minus 80,25,1.49937,79.0056,0.5856901099,101.83622424,0.2168614046,0.3195087152,6127.3626295,13528.730212,0.1173599724,0.7587406558,26.305860275,31.254820138
02/11/2011 11:07:00 PM,Rice hulls minus 80,25,2.3087,49.6182,0.6021285714,66.811841628,0.1411849031,0.4214469701,4594.5217677,10678.884469,0.1324028491,0.7615223385,26.308187749,27.572161816
02/12/2011 3:15:00 AM,Rice hulls minus 80,25,1.23377,99.3074,0.5450076923,126.60109793,0.2711886115,0.2782427581,7436.7452682,15949.144189,0.1332665491,0.7506363951,25.915020817,31.880221255
02/17/2011 6:00:00 AM,Rice hulls minus 80,25,2.30545,49.46556375,0.5859065934,66.627852095,0.1408324424,0.4289892875,4575.3811611,10483.580705,0.1196266938,0.758118611,26.257755769,27.492426652
02/17/2011 11:00:00 PM,Rice hulls minus 80,25,1.27518,98.7665477,0.5357010989,124.93182976,0.2696892443,0.292747018,7023.0753024,14773.038855,0.1325098969,0.7603036722,26.065799176,32.951577771
02/18/2011 3:00:00 AM,Rice hulls minus 80,60,2.47346,98.89712945,0.5794252747,123.68017231,0.2663082896,0.5129114015,6614.607352,16216.630311,0.1783376494,1.444325835,49.460638708,64.683480166
03/16/2011 7:20:00 PM,Rice hulls minus 80 - 25% blend 50 micron SiO2,5,0.995858,104.64587896,0.6340857143,105.60191584,0.2268149326,0.2294232069,7036.8282071,12628.596796,0.1301911711,0.6269060006,16.68643776,18.433422073
03/17/2011 3:00:00 PM,Rice hulls minus 80 - 25% blend 10 micron SiO2,5,0.711207,106.319125,0.6810186813,105.8590313,0.2520303628,0.1789888698,7985.619941,13227.89184,0.1329883003,0.4726691728,12.574706519,13.130148403
